#,Name,POS,Skill
1,Trovon Baugh,OL,Big
2,Coen Echols,OL,Big
3,Ashton Funk,OL,Big
4,Marcus Garcia,OL,Big
5,Blake Ivy,OL,Big
6,Zaden Krempin,OL,Big
7,Nelson Mcguire,OL,Big
8,Josh Moses,OL,Big
9,Mark Nabou,OL,Big
10,Samuel Roseborough,OL,Big
11,Tyler Thomas,OL,Big
12,Hunter Mckinney,OL,Big
13,Papa Ahfua,OL,Big
14,Robert Bourdon,OL,Big
15,Avery Morcho,OL,Big
16,Tyree Adams,OL,Big
17,Lamont Rogers,OL,Big
18,Wilkin Formby,OL,Big
19,Ashton Bethel-Roman,WR,Skill
20,Mike Brown,WR,Skill
21,Terry Bussey,WR,Skill
22,Mario Craver,WR,Skill
23,Aaron Gregory,WR,Skill
24,Kelshaun Johnson,WR,Skill
25,Jerome Myles,WR,Skill
26,TK Norman,WR,Skill
27,Jayden Warren,WR,Skill
28,Madden Williams,WR,Skill
29,Jonah Wilson,WR,Skill
30,Isiah Horton,WR,Skill
31,Evan Jacobson,TE,Mid
32,Richie Anderson,TE,Mid
33,Kiotti Armstrong,TE,Mid
34,Kaeden Johnson,TE,Mid
35,Micah Riley,TE,Mid
36,Caleb Tafua,TE,Mid
37,Houston Thomas,TE,Mid
38,Luke Braden ,TE,Mid
39,Carter Braugh,TE,Mid
40,Helaman Casuga,QB,Mid
41,Brady Hart,QB,Mid
42,Marcel Reed,QB,Mid
43,Paxton Land,QB,Mid
44,Eli Morcos,QB,Mid
45,Carsyn Baker,RB,Skill
46,KJ Edwards,RB,Skill
47,Jamarion Morrow,RB,Skill
48,Rueben Owens,RB,Skill
49,Tiger Riden,RB,Skill
50,DE De Murrary,RB,Skill
51,Ramarian Tillman,RB,Skill
52,CJ Mims,DL,Big
53,DJ Hicks,DL,Big
54,Jermaine Kinsler,DL,Big
55,Landon Rink,DL,Big
56,DJ Sanders,DL,Big
57,Chace Sims,DL,Big
58,Nana Boadi-Owusu,DE,Mid
59,Nathan Mabon,DL,Big
60,Brandon Davis-Swain,DL,Big
61,Angelo Mccullom,DL,Big
62,Tristian Givens,DE,Mid
63,Ryan Henderson,DE,Mid
64,Kendall Jackson,DE,Mid
65,Marco Jones,DE,Mid
66,Sam M'Pemba,DE,Mid
67,Samu Moala,DE,Mid
68,Bryce Perry-Wright,DE,Mid
69,Anto Saka,DE,Mid
70,TJ Searcy,DE,Mid
71,Jesse Chukwu,DE,Mid
72,Qui Beck,LB,Mid
73,Ray Coney,LB,Mid
74,Tank King,LB,Mid
75,Jordan Lockhart,LB,Mid
76,Noah Mikhail,LB,Mid
77,Storm Miller,LB,Mid
78,Kelvion Riggins,LB,Mid
79,Daymion Sanford,LB,Mid
80,Tamarion Watkins,LB,Mid
81,Tommy Colligan,LB,Mid
82,Kyle Garvis,LB,Mid
83,Jeremiah Searcy,LB,Mid
84,Justin Echols,Nickel,Skill
85,Camren Hamiel,Nickel,Skill
86,Deyjohn Pettaway,Nickel,Skill
87,Bravion Rogers,Nickel,Skill
88,Jordan Shaw,Nickel,Skill
89,Adam Graham,Nickel,Skill
90,Brandon Arrington,CB,Skill
91,Jamar Beal-Goines,CB,Skill
92,Adonyss Currie,CB,Skill
93,Rickey Gibson,CB,Skill
94,Julian Humphrey,CB,Skill
95,Dezz Ricks,CB,Skill
96,Victor Singleton,CB,Skill
97,Ryan Burtin,CB,Skill
98,Dalton Brooks,SAF,Skill
99,Tawfiq Byard,SAF,Skill
100,Chance Collins,SAF,Skill
101,Myles Davis,SAF,Skill
102,Tom Tom Johnson,SAF,Skill
103,Marcus Ratcliffe,SAF,Skill
104,Tylan Wilson,SAF,Skill
105,Peyton Gay,SAF,Skill
106,Layne Gerke,SAF,Skill
